lr,ins,sr,reg,mean,rmse,std
0.25,0.2,0.2,0.01,0.040331954744322565,0.03672310318722976,0.0593204315208275
0.25,0.2,0.2,0.1,0.04037657910559417,0.034271013335709144,0.058701363012416685
0.25,0.2,0.2,1.0,0.040472089006302295,0.03351662185030188,0.05860919267828389
0.25,0.2,0.2,10.0,0.040492247131277664,0.03305361137121551,0.0582322624581389
0.25,0.2,0.2,100.0,0.04048182634020384,0.033048231417267794,0.05723214882395399
0.25,0.2,0.8,0.01,0.040255113615490425,0.040391435921021034,0.06087081323706854
0.25,0.2,0.8,0.1,0.04028512830369657,0.037412290621914715,0.05955401188058101
0.25,0.2,0.8,1.0,0.04029598088778417,0.035193772013193986,0.058959451823917285
0.25,0.2,0.8,10.0,0.0403424505482326,0.034208456281325794,0.05857194563442619
0.25,0.2,0.8,100.0,0.04039351439955517,0.03394972777818108,0.05743457896073508
0.25,0.2,1.4,0.01,0.04053695319342794,0.03883949373339136,0.05944439987422074
0.25,0.2,1.4,0.1,0.04051251540931875,0.03875004488002175,0.05936059747331398
0.25,0.2,1.4,1.0,0.04090486874349257,0.0387282838974054,0.05929147904512972
0.25,0.2,1.4,10.0,0.04077683270659589,0.0378864257210608,0.058954607647789176
0.25,0.2,1.4,100.0,0.040901063214438906,0.03692353164701997,0.057938200126817
0.25,0.2,2.0,0.01,0.041345867552780025,0.03609244389823407,0.05775685857292311
0.25,0.2,2.0,0.1,0.041179714244451736,0.03594923180290339,0.05774613185841935
0.25,0.2,2.0,1.0,0.041003441187208674,0.03594528302418873,0.05772952057251642
0.25,0.2,2.0,10.0,0.04127288791551655,0.03624274503238602,0.0577810523817802
0.25,0.2,2.0,100.0,0.04135777557257437,0.037419624068310474,0.05758062436906873
0.25,0.8,0.2,0.01,0.040514647784680016,0.04224853306312484,0.062135403966365584
0.25,0.8,0.2,0.1,0.04051051846303067,0.04209301602002248,0.06203568481514502
0.25,0.8,0.2,1.0,0.040487424907873805,0.04089978771911645,0.061309626836312955
0.25,0.8,0.2,10.0,0.04045205345608506,0.037258592771064324,0.05933028460653173
0.25,0.8,0.2,100.0,0.0404506118538574,0.03446478555258609,0.05752434678073768
0.25,0.8,0.8,0.01,0.04040342684293795,0.04273003838867826,0.061752585132292044
0.25,0.8,0.8,0.1,0.040404858067250096,0.04269143753875666,0.061726015113757506
0.25,0.8,0.8,1.0,0.04039986414285363,0.04232638297290719,0.06150612998447792
0.25,0.8,0.8,10.0,0.04037806257128042,0.04022697799011158,0.06032662319783534
0.25,0.8,0.8,100.0,0.040421425072814175,0.03671862034464513,0.05814491366355824
0.25,0.8,1.4,0.01,0.04129441789388048,0.04323961129987685,0.061449089194026967
0.25,0.8,1.4,0.1,0.04129789692539132,0.04323400524233558,0.061448496936007596
0.25,0.8,1.4,1.0,0.04129004134107051,0.04317835643864239,0.06140748919711174
0.25,0.8,1.4,10.0,0.041237685507271506,0.04282944084414566,0.06117215321812756
0.25,0.8,1.4,100.0,0.04108567245646541,0.041348897201157864,0.05983152776382462
0.25,0.8,2.0,0.01,0.04065976339119739,0.037858526598533164,0.058813159931523806
0.25,0.8,2.0,0.1,0.04067065236419949,0.03787776919365389,0.05882218855556843
0.25,0.8,2.0,1.0,0.040662802791735675,0.037862447554229524,0.05886234048758557
0.25,0.8,2.0,10.0,0.040528288357844666,0.0378982533752791,0.05887385745365743
0.25,0.8,2.0,100.0,0.04033702377900883,0.03901695920721794,0.05889135199690562
0.25,1.4,0.2,0.01,0.040342313730907,0.04259777812273147,0.06208119718354707
0.25,1.4,0.2,0.1,0.04034326578544758,0.042579083669483826,0.06206748563873555
0.25,1.4,0.2,1.0,0.040342479472034745,0.042395370619427476,0.06194797904046134
0.25,1.4,0.2,10.0,0.04033848946646792,0.04110503151473511,0.06112938362797848
0.25,1.4,0.2,100.0,0.04038024388496358,0.03763233361723019,0.05860365711720987
0.25,1.4,0.8,0.01,0.040239859455391,0.04298056463628294,0.061959146346159975
0.25,1.4,0.8,0.1,0.04024057440924814,0.04297313774722526,0.06195125425326106
0.25,1.4,0.8,1.0,0.04024220293561182,0.042897436275754076,0.061895908337000254
0.25,1.4,0.8,10.0,0.040258014496267855,0.042383915761939936,0.06154719933704775
0.25,1.4,0.8,100.0,0.04034341316140793,0.039968536172018114,0.05958459617102794
0.25,1.4,1.4,0.01,0.040179833118501346,0.04300773045355358,0.06146115634533979
0.25,1.4,1.4,0.1,0.04018096670961751,0.04300591479401359,0.061456534114249006
0.25,1.4,1.4,1.0,0.04018226145820762,0.04298659820327367,0.06143678221071892
0.25,1.4,1.4,10.0,0.04019359050942433,0.04293681161652195,0.061371185928215666
0.25,1.4,1.4,100.0,0.040251323797646135,0.04251784716179839,0.06057542431037056
0.25,1.4,2.0,0.01,0.04098799360268988,0.04200047306757071,0.06044009520817964
0.25,1.4,2.0,0.1,0.040987407730482275,0.04199988518684469,0.06043977105311666
0.25,1.4,2.0,1.0,0.04098724473495909,0.042002059032469036,0.06043392421213674
0.25,1.4,2.0,10.0,0.040985314292189295,0.04210210790965339,0.060448094526169956
0.25,1.4,2.0,100.0,0.04096636836494039,0.04295647124857558,0.060404454555367616
0.25,2.0,0.2,0.01,0.04054939050578263,0.04268524272720441,0.062031854122316474
0.25,2.0,0.2,0.1,0.04054837993648205,0.042678618122937925,0.06202618934003975
0.25,2.0,0.2,1.0,0.0405475078930991,0.042613839216730086,0.061976402935823766
0.25,2.0,0.2,10.0,0.04054063448787574,0.042155742164894594,0.061632629599365295
0.25,2.0,0.2,100.0,0.040496812380177744,0.03986210534961151,0.059557326104340245
0.25,2.0,0.8,0.01,0.04054225376803912,0.04309784279586916,0.06198545587500186
0.25,2.0,0.8,0.1,0.04054287013384578,0.04309446769654403,0.06198095804052721
0.25,2.0,0.8,1.0,0.04054087111176956,0.04306460677513489,0.0619538552951487
0.25,2.0,0.8,10.0,0.04052932770447842,0.042923052724954266,0.06182520670282711
0.25,2.0,0.8,100.0,0.04050193721934586,0.041711096914829444,0.06044725855043119
0.25,2.0,1.4,0.01,0.040554404496312944,0.04314154672974061,0.061751712374786986
0.25,2.0,1.4,0.1,0.04055368819888061,0.04313932777986693,0.06174693131302919
0.25,2.0,1.4,1.0,0.040550633812554554,0.04312772557899258,0.06173073144141637
0.25,2.0,1.4,10.0,0.04053185653120464,0.04316869607312538,0.061713285585711784
0.25,2.0,1.4,100.0,0.04051858287127362,0.04324028018672492,0.061135442816419375
0.25,2.0,2.0,0.01,0.040602088741110286,0.0427674271732055,0.06107760895202581
0.25,2.0,2.0,0.1,0.04059653310226034,0.04276869787986638,0.061071684830435694
0.25,2.0,2.0,1.0,0.040596008478663674,0.04277006467253001,0.06106432942663235
0.25,2.0,2.0,10.0,0.040593595611446744,0.04288310153903404,0.061085036188880365
0.25,2.0,2.0,100.0,0.040607647332905894,0.043752754329851026,0.0610383585470139
0.5,0.2,0.2,0.01,0.04053292909562686,0.03708051044823559,0.06060450631889434
0.5,0.2,0.2,0.1,0.04048917136510351,0.03440393108802222,0.0594943623248927
0.5,0.2,0.2,1.0,0.040538478984693246,0.033473910457044294,0.05918358470252998
0.5,0.2,0.2,10.0,0.040551965004539434,0.03297548784111184,0.05864231362646976
0.5,0.2,0.2,100.0,0.04058099066889076,0.0327268355119407,0.05740865817932512
0.5,0.2,0.8,0.01,0.04046076319800965,0.04085884994110765,0.06225601422253174
0.5,0.2,0.8,0.1,0.04044091360313571,0.03842827262438422,0.060898161141799065
0.5,0.2,0.8,1.0,0.04040660904141412,0.03558097131943591,0.0597074882567505
0.5,0.2,0.8,10.0,0.040435699668979266,0.03434845804427731,0.05919060331704013
0.5,0.2,0.8,100.0,0.04050354190581903,0.0339139453464643,0.05803258288365949
0.5,0.2,1.4,0.01,0.04095895783071735,0.03774023849626991,0.059456688604065125
0.5,0.2,1.4,0.1,0.04091739928664822,0.03775769263648038,0.05950827501518519
0.5,0.2,1.4,1.0,0.0409903293807106,0.03763627130040669,0.05946669268639017
0.5,0.2,1.4,10.0,0.04088484699925564,0.037324078616935624,0.059187547191578226
0.5,0.2,1.4,100.0,0.04102513119317314,0.03732550605342112,0.058620358585858165
0.5,0.2,2.0,0.01,0.04138777797858189,0.0349695642590261,0.05791818317692336
0.5,0.2,2.0,0.1,0.04130781772667088,0.03492345641730608,0.0579140089789357
0.5,0.2,2.0,1.0,0.04133260218801219,0.034958748997884564,0.05788184670916627
0.5,0.2,2.0,10.0,0.04124329775022122,0.035054568801054335,0.05787620803182031
0.5,0.2,2.0,100.0,0.0414644505405687,0.0362245599700713,0.057593875947685204
0.5,0.8,0.2,0.01,0.04066412396917385,0.041029966752773886,0.06279274254380199
0.5,0.8,0.2,0.1,0.04066297885990968,0.04095954534676367,0.06274305385386117
0.5,0.8,0.2,1.0,0.040652362626857744,0.04035656325519178,0.06233456285527686
0.5,0.8,0.2,10.0,0.040622631313818,0.037642948929693,0.06055357759843702
0.5,0.8,0.2,100.0,0.0405955500506652,0.03443354863583224,0.05817478999448646
0.5,0.8,0.8,0.01,0.040620526194593214,0.04197607575710565,0.0628012144196021
0.5,0.8,0.8,0.1,0.04062002095020475,0.04195531632485614,0.06278512981074413
0.5,0.8,0.8,1.0,0.0406231506532285,0.04177538252393928,0.06266187435712005
0.5,0.8,0.8,10.0,0.0406291101640435,0.04067477222111279,0.06195763679865544
0.5,0.8,0.8,100.0,0.040623382657088085,0.03762116296439449,0.059939062086073164
0.5,0.8,1.4,0.01,0.04090190007098131,0.04166265297547433,0.061618461085275626
0.5,0.8,1.4,0.1,0.040902326426583153,0.04165937271286784,0.06161479210905375
0.5,0.8,1.4,1.0,0.040900849691678454,0.041643925299755476,0.06159650396015029
0.5,0.8,1.4,10.0,0.04088887239199093,0.041689845113704625,0.06159807605692254
0.5,0.8,1.4,100.0,0.04084732702852254,0.04245887286873252,0.061833447652787456
0.5,0.8,2.0,0.01,0.040805673568641065,0.03740272554368751,0.059288297037755185
0.5,0.8,2.0,0.1,0.04098456904224207,0.03752056216553262,0.05933271547639955
0.5,0.8,2.0,1.0,0.0408804994152557,0.03746783484694878,0.05931548333957001
0.5,0.8,2.0,10.0,0.04088167697040395,0.03759794769495248,0.059291964456530406
0.5,0.8,2.0,100.0,0.04078638818499273,0.03919926034299661,0.05968726481515702
0.5,1.4,0.2,0.01,0.04047304298053821,0.041192156550824484,0.06276522615190677
0.5,1.4,0.2,0.1,0.04047370978828324,0.04118238055829454,0.06275552763986983
0.5,1.4,0.2,1.0,0.04047520856663352,0.041094927047353534,0.06268454610722499
0.5,1.4,0.2,10.0,0.04048188941056651,0.04049112204647925,0.06220177962383987
0.5,1.4,0.2,100.0,0.04050349333191996,0.0379673083824054,0.059912257224060766
0.5,1.4,0.8,0.01,0.040436856593002404,0.04214457433692733,0.06295978280442
0.5,1.4,0.8,0.1,0.04043725340014094,0.042139630279687715,0.06295376003743848
0.5,1.4,0.8,1.0,0.04043666902861037,0.04210089645009514,0.06291909224451674
0.5,1.4,0.8,10.0,0.04043215546294826,0.04199340802876658,0.0628216542476068
0.5,1.4,0.8,100.0,0.040437627908100016,0.041071617261681334,0.061883356986041325
0.5,1.4,1.4,0.01,0.04036250026519362,0.04225493295655952,0.06253867232426816
0.5,1.4,1.4,0.1,0.040361535241299915,0.04225344548468401,0.06253646780583658
0.5,1.4,1.4,1.0,0.04036263117486157,0.04224279931241623,0.06252076574504631
0.5,1.4,1.4,10.0,0.040371196563837496,0.04236910238167109,0.06257648262924015
0.5,1.4,1.4,100.0,0.040411021576798836,0.04342221422850481,0.062992738451517
0.5,1.4,2.0,0.01,0.04087624625826565,0.040856728447651466,0.06089304899022469
0.5,1.4,2.0,0.1,0.04087959867318263,0.0408577814713011,0.06089470988746247
0.5,1.4,2.0,1.0,0.040879966049848726,0.04086152016571405,0.06088762202496492
0.5,1.4,2.0,10.0,0.04088267441993897,0.04099858025016466,0.060910280651088666
0.5,1.4,2.0,100.0,0.040889444514097956,0.04281012152205544,0.06158213447765896
0.5,2.0,0.2,0.01,0.04044572617649502,0.041366384452871066,0.06264632401401533
0.5,2.0,0.2,0.1,0.0404458749581512,0.041361830788384284,0.062641032320096
0.5,2.0,0.2,1.0,0.04044457247359985,0.04132870785932457,0.06260581658478287
0.5,2.0,0.2,10.0,0.0404379115934987,0.04119871598174336,0.06245276408426234
0.5,2.0,0.2,100.0,0.04044766560607939,0.0400101769767409,0.06103229698586343
0.5,2.0,0.8,0.01,0.04043659421606014,0.04214146527211765,0.0629576631109857
0.5,2.0,0.8,0.1,0.04043558457446259,0.04213957330910197,0.06295384692055211
0.5,2.0,0.8,1.0,0.040434508789726216,0.04212245230383864,0.06293154183840637
0.5,2.0,0.8,10.0,0.040431608420404545,0.04219768062252262,0.06293718822669397
0.5,2.0,0.8,100.0,0.04045841102664914,0.042359049398038306,0.0625865684638003
0.5,2.0,1.4,0.01,0.040642444211327816,0.042527019540304696,0.0625852975008693
0.5,2.0,1.4,0.1,0.04064350555181122,0.04252612290126196,0.06258282688446219
0.5,2.0,1.4,1.0,0.0406416033571525,0.04252127127719937,0.06256904926485234
0.5,2.0,1.4,10.0,0.0406282598577056,0.04269135287328329,0.06264135833831155
